r, lambda, epoch, N, ncs_res 
0.881139,1.029292201,9,2,-443.2256383
0.894527958,1.027972027,9,2,-442.6929001
0.936561877,1.028402848,9,2,-442.1568897
0.917379457,1.034522412,9,2,-441.3649949
0.915345891,1.010970018,9,2,-441.1185273
0.968365999,1.012874975,9,2,-440.848851
0.956011783,1.009483329,9,2,-440.4056608
0.970016535,1.006414103,9,2,-439.876712
0.96857919,1.034369521,9,2,-439.6925775
0.914915606,1.012434164,9,2,-439.2901677
0.944040215,1.021145461,9,2,-439.0083374
0.855771333,1.019313559,9,2,-438.6965798
0.919188727,1.011865236,9,2,-438.5701385
0.885461033,1.026226795,9,2,-438.4429896
0.885986398,1.028721299,9,2,-438.1982744
0.912678906,1.021466134,9,2,-438.0164342
0.931784977,1.023919087,9,2,-437.9774773
0.951137856,1.015930405,9,2,-437.8449319
0.950823822,1.000336947,9,2,-437.8429608
0.942463686,1.022497662,9,2,-437.5649001
0.920025545,1.033790994,9,2,-437.3071958
0.913858304,1.005269156,9,2,-437.0501187
0.935752528,1.010143987,9,2,-436.9280724
0.922697105,1.000161971,9,2,-436.669865
0.850083206,1.029894094,9,2,-436.3117349
0.869347352,1.00582268,9,2,-435.9535779
0.974587374,1.01177025,9,2,-435.764108
0.991930877,1.017285689,9,2,-435.4882624
0.85557619,1.034301449,9,2,-435.3886567
0.95833842,1.003801153,9,2,-435.0146444
0.977138557,1.027181461,9,2,-434.906168
0.979494056,1.029034853,9,2,-434.7073639
0.893138766,1.017047125,9,2,-434.0757618
0.938915571,1.020442396,9,2,-433.9825889
0.919801205,1.034350876,9,2,-433.8650824
0.870943538,1.010273166,9,2,-433.145013
0.879284406,1.032987229,9,2,-433.070323
0.8705987,1.001984447,9,2,-433.051103
0.920945388,1.01970779,9,2,-432.5980577
0.936861722,1.012746668,9,2,-432.3460898
0.900052933,1.009387374,9,2,-432.1259244
0.99622512,1.000652442,9,2,-432.1200802
0.982674937,1.013168672,9,2,-431.9210679
0.974783761,1.020677755,9,2,-431.711366
0.936554605,1.029275752,9,2,-431.3848663
0.906218151,1.029779915,9,2,-431.3842389
0.995990012,1.008020979,9,2,-431.2807648
0.921571842,1.009442068,9,2,-431.146995
0.880053159,1.024057168,9,2,-430.9971567
0.914754948,1.011627331,9,2,-430.8871008
0.989435328,1.01814287,9,2,-430.8838264
0.889974655,1.003602686,9,2,-430.5037669
0.899649531,1.000059707,9,2,-430.0317542
0.920338833,1.007505483,9,2,-429.9013428
0.851370592,1.021364199,9,2,-429.5366829
0.998834156,1.002098713,9,2,-428.9214201
0.893369773,1.005117502,9,2,-428.5438838
0.909007296,1.019345181,9,2,-428.3632794
0.854681027,1.008492037,9,2,-428.2176283
0.972747879,1.030948715,9,2,-428.0837061
0.877450571,1.017494097,9,2,-426.8322536
0.965307143,1.032344249,9,2,-426.2932059
0.943713345,1.017153603,9,2,-426.1043309
0.972144248,1.032481055,9,2,-426.0080404
0.902010004,1.031357418,9,2,-425.937123
0.899250477,1.010383136,9,2,-425.6164396
0.99789759,1.007960992,9,2,-425.3696633
0.887770472,1.000945338,9,2,-425.1240903
0.940299514,1.002516221,9,2,-424.4473933
0.969967428,1.017210916,9,2,-424.0083211
0.905844439,1.009742654,9,2,-423.5529024
0.984559457,1.025245045,9,2,-423.5159098
0.952497857,1.004212038,9,2,-422.8519621
0.93512136,1.005331491,9,2,-422.7287839
0.954051493,1.017971119,9,2,-422.671002
0.97132195,1.027492006,9,2,-422.2679063
0.857889946,1.014929857,9,2,-421.9586274
0.988349948,1.020063332,9,2,-421.508286
0.948674366,1.010042111,9,2,-421.4382623
0.990518971,1.029414139,9,2,-420.2067312
0.996925609,1.031547027,9,2,-419.9897775
0.907752147,1.024663489,9,2,-419.9453648
0.962727167,1.029933686,9,2,-419.5526866
0.903267327,1.003347997,9,2,-419.1848364
0.989000309,1.009710524,9,2,-419.1773225
0.977099971,1.000669769,9,2,-418.7751892
0.907064064,1.026261435,9,2,-418.7459971
0.879641629,1.027692785,9,2,-418.2375383
0.868381299,1.013334326,9,2,-418.1735966
0.923300192,1.008564674,9,2,-417.8476255
0.872061128,1.028254278,9,2,-417.8370579
0.878794568,1.03302494,9,2,-416.5993183
0.91116599,1.034496167,9,2,-415.6466922
0.943500538,1.029539595,9,2,-415.6414437
0.89002861,1.021685342,9,2,-415.0905099
0.895577672,1.017593762,9,2,-412.2971074
0.883603035,1.003869424,9,2,-412.181721
0.959819855,1.014440203,9,2,-411.5629852
0.994644189,1.007106951,9,2,-410.8334398
0.857219244,1.013944329,9,2,-410.5427752
0.924680822,1.014049578,9,2,-410.502774
0.873276044,1.024515808,9,2,-410.3593635
0.932880405,1.007669201,9,2,-409.6136703
0.971389181,1.029578282,9,2,-408.2853096
0.879797938,1.00910627,9,2,-407.5446845
0.863785907,1.003358301,9,2,-407.3586153
0.871716419,1.006417661,9,2,-407.1374158
0.99529781,1.017162348,9,2,-406.2719034
0.876765696,1.023963649,9,2,-406.1740413
